,#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
3185,3186,claim,8833974510,54,someone learned  on an internet forum a claim that the largest recorded snowflake was 15 inches wide,not verified,active,972283.0,311333.875,45382.5,1086.0,57.0
3186,3187,claim,6419276137,49,someone learned  on an internet forum a claim that triskaidekaphobia is the fear of the number 13,not verified,under review,695329.0,151737.0,38523.0,1578.0,728.5
3187,3188,claim,5433477431,51,someone learned  on an internet forum a claim that a man once set a record by putting on over 260 t-shirts,not verified,active,555966.0,311333.875,18150.0,2880.125,728.5
3188,3189,claim,4955041603,17,someone learned  on an internet forum a claim that sloths can hold their breaths longer than dolphins,not verified,active,641205.0,20625.0,6263.0,368.0,218.0
3189,3190,claim,7555047718,26,"someone learned  on an internet forum a claim that the largest prime number has 17,425,170 digits",not verified,banned,440605.0,118941.0,45382.5,2406.0,605.0
3190,3191,claim,5233792176,41,someone learned  on an internet forum a claim that the dwarf planet pluto was named by an 11-year-old girl,not verified,active,449036.0,76536.0,6932.0,765.0,104.0
3191,3192,claim,7048926098,9,someone learned  on an internet forum a claim that redwoods are the tallest trees,not verified,banned,784979.0,254821.0,41692.0,2575.0,674.0
3192,3193,claim,4107013460,24,someone learned  from the media that austrian physicist erwin schrödinger was allergic to cats,not verified,active,559628.0,311333.875,40990.0,563.0,151.0
3193,3194,claim,2837681939,32,someone learned  from the media that more businesses will be owned by women than men by 2045,verified,under review,143496.0,63739.0,7757.0,1245.0,158.0
3194,3195,claim,7005286648,43,someone learned  from the media that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,active,807286.0,73987.0,20342.0,1403.0,728.5
3195,3196,claim,2183679824,24,someone learned  from the media that the average car has more than 100 miles of code in the vehicle’s internal computer,not verified,active,449114.0,285437.0,45382.5,2187.0,16.0
3196,3197,claim,3913902763,11,"someone learned  from the media that at the first modern olympics, winners were awarded silver medals",not verified,active,188179.0,27878.0,3376.0,544.0,357.0
3197,3198,claim,9224414937,35,someone learned  from the media that a dog’s sense of smell is much more powerful than a human's,not verified,active,242561.0,24380.0,2887.0,96.0,37.0
3198,3199,claim,6285460928,43,someone learned  from the media that mercury & venus are the only 2 planets in our solar system that have no moons,not verified,active,857217.0,311333.875,15425.0,2880.125,704.0
3199,3200,claim,2178628074,56,someone learned  from the media that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,not verified,active,127315.0,53737.0,1643.0,329.0,108.0
3200,3201,claim,4948718123,27,someone learned  from the media that halley’s comet won’t be seen again until 2061,not verified,under review,139308.0,35290.0,13242.0,748.0,54.0
3201,3202,claim,9577326422,31,someone learned  from the media that a double rainbow is a mirror image of the first rainbow,not verified,active,59381.0,15088.0,3930.0,302.0,153.0
3202,3203,claim,7144627090,58,someone learned  from the media that take out restaurants have been found in the remains of pompeii,not verified,banned,672867.0,58910.0,5608.0,1400.0,592.0
3203,3204,claim,3914099432,30,someone learned  from the media that typing keyboards were previously arranged alphabetically,not verified,active,420559.0,171245.0,10445.0,2880.125,55.0
3204,3205,claim,7867829275,22,someone learned  from the media that a pound of houseflies contains more protein than a pound of beef,not verified,active,408797.0,244137.0,45382.5,2880.125,728.5
3205,3206,claim,3595651865,20,someone learned  from the media that the netherlands is home to the population of tallest humans on earth,not verified,under review,638808.0,50683.0,16712.0,196.0,33.0
3206,3207,claim,1260933284,48,someone learned  from the media that the people who are currently alive are only 7% of the total number of people who have ever lived,not verified,banned,265386.0,167930.0,31391.0,963.0,472.0
3207,3208,claim,9887823775,7,"someone learned  from the media that cows have ""best friends"" and will get stressed when separated",not verified,active,919604.0,41321.0,9527.0,215.0,142.0
3208,3209,claim,3287991574,53,someone learned  from the media that q' is the only letter that doesn’t appear in any u.s. state name,not verified,active,612341.0,311333.875,42156.0,1153.0,498.0
3209,3210,claim,9538634923,26,someone learned  from the media that only one-fourth of the sahara desert is sandy,not verified,banned,286081.0,113937.0,30327.0,2342.0,728.5
3210,3211,claim,5131960800,15,someone learned  from the media that humans have jumped further than horses in the olympics,not verified,active,37795.0,15577.0,1952.0,66.0,27.0
3211,3212,claim,6940817918,55,someone learned  from the media that it is physically impossible for humans to keep their eyes open while sneezing,not verified,under review,787043.0,261520.0,14680.0,2398.0,15.0
3212,3213,claim,9982629592,16,someone learned  from the media that children are born less frequently on saturdays,not verified,active,643583.0,143811.0,6643.0,2619.0,728.5
3213,3214,claim,2452271049,35,someone learned  from the media that human eyeballs do not grow or change their size as they age,not verified,active,443848.0,87108.0,10783.0,2072.0,359.0
3214,3215,claim,9169599383,15,someone learned  from the media that the sound of knuckles cracking is actually gasses that are released when pressure is put on them,not verified,banned,649618.0,278393.0,31511.0,2880.125,728.5
3215,3216,claim,9975455891,9,someone learned  from the media that leeches were historically used to predict the weather,not verified,active,59198.0,2563.0,934.0,47.0,27.0
3216,3217,claim,7126256042,31,someone learned  from the media that the world’s largest pyramid cannot be found in egypt,not verified,under review,633090.0,261391.0,45382.5,2880.125,728.5
3217,3218,claim,9318941735,33,someone learned  from the media that cats can't taste sweet flavors,not verified,active,670231.0,63026.0,14895.0,572.0,312.0
3218,3219,claim,6421151883,20,someone learned  from the media that 12 plants and 5 animals make up 75% of diets around the world,not verified,under review,123520.0,20468.0,7984.0,185.0,104.0
3219,3220,claim,2037352018,18,someone learned  from the media that a shape with 26 sides is known as a rhombicuboctahedron,not verified,active,583155.0,158468.0,33182.0,1958.0,728.5
3220,3221,claim,6350022013,60,"someone learned  from the media that there are over 6,000 species of grass",not verified,active,591058.0,110763.0,37418.0,789.0,361.0
3221,3222,claim,7045055851,15,someone learned  from the media that a giant tortoise that was believed to be extinct was found in the galapagos islands,not verified,under review,952303.0,177966.0,44274.0,602.0,80.0
3222,3223,claim,2110010069,16,someone learned  from the media that the longest recorded tennis match lasted for 11 hours,not verified,under review,344820.0,222264.0,45382.5,2880.125,728.5
3223,3224,claim,1276569460,55,someone learned  from the media a claim that iceland is growing 5 centimeters per year,not verified,active,974606.0,311333.875,45382.5,2880.125,728.5
3224,3225,claim,7935606934,48,someone learned  from the media a claim that the most productive work day of the week is tuesday,not verified,under review,527327.0,56126.0,7922.0,82.0,47.0
3225,3226,claim,4308271668,40,someone learned  from the media a claim that seventy percent of small businesses are owned and operated by a single person.,not verified,banned,287569.0,119436.0,45263.0,21.0,11.0
3226,3227,claim,3774683918,22,someone learned  from the media a claim that the earliest playable recording of a person singing was recorded in 1860,not verified,active,878195.0,49005.0,3418.0,1198.0,54.0
3227,3228,claim,7082572099,49,"someone learned  from the media a claim that the voyager spacecrafts have carried a recording of chuck berry's ""johnny b. goode"" out of our solar system",not verified,active,84080.0,28493.0,3711.0,325.0,131.0
3228,3229,claim,5778836533,27,someone learned  from the media a claim that the band metallica is the first and only group to play on all seven continents,not verified,banned,161291.0,53591.0,18939.0,540.0,272.0
3229,3230,claim,6953288910,55,someone learned  from the media a claim that the japanese word ‘karaoke’ comes from a phrase meaning ’empty orchestra’,not verified,active,271453.0,87562.0,30177.0,1157.0,65.0
3230,3231,claim,8468382505,43,someone learned  from the media a claim that the world generates 2.5 quintillion bytes of data every day,not verified,active,129305.0,12322.0,1596.0,290.0,128.0
3231,3232,claim,1483999078,18,someone learned  from the media a claim that cannonballs were the first objects thrown in international shot put events in the early 1900s,not verified,active,260734.0,82654.0,28445.0,12.0,1.0
3232,3233,claim,5082519246,42,"someone learned  from the media a claim that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",not verified,active,554753.0,253740.0,45382.5,2880.125,728.5
3233,3234,claim,2063444600,57,someone learned  from the media a claim that the longest commercial flight in history took around 30 hours,not verified,active,432245.0,150597.0,3617.0,1389.0,670.0
3234,3235,claim,8386229040,52,someone learned  from the media a claim that a dog’s sense of smell is much more powerful than a human's,not verified,active,454252.0,44243.0,2593.0,721.0,241.0
3235,3236,claim,8829859140,38,someone learned  from the media a claim that an octopus has three hearts,not verified,under review,138969.0,41256.0,2835.0,718.0,21.0
3236,3237,claim,1509765546,50,someone learned  from the media a claim that mercury & venus are the only 2 planets in our solar system that have no moons,not verified,active,140469.0,3474.0,1156.0,32.0,6.0
3237,3238,claim,8908628841,44,someone learned  from the media a claim that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,not verified,banned,164501.0,6969.0,2190.0,99.0,53.0
3238,3239,claim,3117214214,57,someone learned  from the media a claim that jupiter has the most moons,not verified,under review,790849.0,311333.875,45382.5,2880.125,728.5
3239,3240,claim,7810764600,52,someone learned  from the media a claim that neptune’s winds are the fastest in the solar system,not verified,active,729880.0,260035.0,12553.0,2880.125,525.0
3240,3241,claim,5682770277,56,someone learned  from the media a claim that evidence from seymour island suggest that penguins were once 6 ft tall,not verified,active,632284.0,66535.0,10961.0,223.0,96.0
3241,3242,claim,3826491088,44,someone learned  from the media a claim that typing keyboards were previously arranged alphabetically,not verified,active,427582.0,177352.0,1698.0,2880.125,186.0
3242,3243,claim,5596640027,20,someone learned  from the media a claim that a crocodile cannot stick its tongue out,not verified,banned,709542.0,44550.0,9976.0,650.0,252.0
3243,3244,claim,7629963219,18,someone learned  from the media a claim that people don’t sneeze in their sleep,not verified,banned,394893.0,18774.0,2752.0,83.0,32.0
3244,3245,claim,9114370649,60,"someone learned  from the media a claim that your heart beats 100,000 times a day",not verified,active,283150.0,30639.0,4151.0,552.0,242.0
3245,3246,claim,7276753462,26,someone learned  from the media a claim that humans can’t taste food without saliva,not verified,active,823710.0,70681.0,3004.0,1536.0,19.0
3246,3247,claim,7169461739,35,someone learned  from the media a claim that may 22nd is the least common birth date,not verified,active,591605.0,127577.0,45382.5,1160.0,724.0
3247,3248,claim,3853421691,37,someone learned  from the media a claim that millions of trees are estimated to be planted by squirrels that forgot their buried nuts,not verified,under review,635814.0,167892.0,45382.5,786.0,379.0
3248,3249,claim,4441495922,51,someone learned  from the media a claim that the microwave oven was an accidental invention,not verified,active,757131.0,187499.0,45382.5,2880.125,225.0
3249,3250,claim,1607810451,11,someone learned  from the media a claim that the longest location name on the planet earth is 85 letters in english.,not verified,banned,263809.0,159233.0,18118.0,2880.125,728.5
3250,3251,claim,9039687571,59,someone learned  from the media a claim that the people who are currently alive are only 7% of the total number of people who have ever lived,not verified,active,800780.0,311333.875,45382.5,2880.125,728.5
3251,3252,claim,1748669850,19,someone learned  from the media a claim that sweden has the most islands of any country,not verified,active,739071.0,311333.875,45382.5,2880.125,279.0
3252,3253,claim,5302013251,12,"someone learned  from the media a claim that blue whales eat 500,000 calories in 1 mouthful on average",not verified,active,689622.0,73536.0,8762.0,908.0,114.0
3253,3254,claim,2922756254,35,someone learned  from the media a claim that 170-year-old champagne was found under the baltic sea,not verified,active,201293.0,124553.0,22845.0,2681.0,728.5
3254,3255,claim,6849918354,16,someone learned  from the media a claim that it is physically impossible for humans to keep their eyes open while sneezing,not verified,under review,299955.0,190236.0,25307.0,2880.125,728.5
3255,3256,claim,3788212946,32,someone learned  from the media a claim that buttermilk does not contain any butter,not verified,active,986012.0,82979.0,1515.0,1042.0,325.0
3256,3257,claim,2816246983,56,someone learned  from the media a claim that smelling green apples help with weight loss,not verified,banned,619472.0,122941.0,13761.0,2816.0,728.5
3257,3258,claim,6618695367,57,someone learned  from the media a claim that cold water is just as cleansing as hot water,not verified,under review,342015.0,64631.0,6613.0,318.0,63.0
3258,3259,claim,3566213936,17,someone learned  from the media a claim that the world’s largest pyramid cannot be found in egypt,not verified,active,148778.0,78452.0,18613.0,918.0,74.0
3259,3260,claim,4309275498,13,someone learned  from the media a claim that ravens are always aware when someone is watching them,not verified,active,546814.0,129667.0,4441.0,1639.0,658.0
3260,3261,claim,7759612844,53,someone learned  from the media a claim that honeybees can recognize human faces,not verified,active,587527.0,186145.0,45382.5,2290.0,728.5
3261,3262,claim,4068991938,16,someone learned  from the media a claim that there are 366 dimples on a regulation golf ball,not verified,active,789693.0,8827.0,315.0,125.0,8.0
3262,3263,claim,4471347655,34,someone learned  on social media that dubai is an island created by humans,not verified,under review,730169.0,311333.875,45382.5,1298.0,591.0
3263,3264,claim,4507177494,52,someone learned  on social media that bangkok's full name has 163 letters,not verified,banned,179872.0,111077.0,28459.0,1681.0,73.0
3264,3265,claim,6316219035,48,"someone learned  on social media that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",not verified,active,141263.0,65771.0,11273.0,1374.0,85.0
3265,3266,claim,4313156647,59,someone learned  on social media that the first electric vehicle was created in 1832,not verified,banned,841354.0,311333.875,45382.5,2880.125,728.5
3266,3267,claim,7758333540,16,someone learned  on social media that the car radio was first introduced in 1922,not verified,active,336687.0,112056.0,19816.0,226.0,110.0
3267,3268,claim,4007144822,18,someone learned  on social media that the automotive industry employs about 9.9 million americans,not verified,active,562402.0,203218.0,45382.5,1752.0,728.5
3268,3269,claim,3649137445,33,"someone learned  on social media that the voyager spacecrafts have carried a recording of chuck berry's ""johnny b. goode"" out of our solar system",not verified,under review,874681.0,311333.875,45382.5,2880.125,728.5
3269,3270,claim,6303457621,44,someone learned  on social media that 90% of the world’s data was generated after 2019,verified,active,19644.0,8359.0,1898.0,192.0,47.0
3270,3271,claim,8299226752,15,someone learned  on social media that the busiest airport in the world is in the united states,not verified,banned,957483.0,53784.0,6183.0,238.0,94.0
3271,3272,claim,7751991793,9,"someone learned  on social media that london, england has the world's oldest subway system",not verified,active,405482.0,125676.0,20878.0,144.0,25.0
3272,3273,claim,2300215980,43,someone learned  on social media that the cheetah is the fastest land animal on earth,not verified,banned,929482.0,220363.0,12401.0,190.0,113.0
3273,3274,claim,5218737729,42,"someone learned  on social media that a common garden snail has over 12,000 teeth",not verified,banned,479244.0,291016.0,45382.5,352.0,197.0
3274,3275,claim,6937904903,45,someone learned  on social media that adult cats only meow to humans,not verified,active,747234.0,24136.0,5341.0,470.0,122.0
3275,3276,claim,2070797373,15,someone learned  on social media that koalas sleep up to 22 hours per day,not verified,banned,501830.0,237946.0,26878.0,2608.0,589.0
3276,3277,claim,6332172671,49,someone learned  on social media that the hummingbird is the only bird that can fly backwards,not verified,active,46745.0,21923.0,6994.0,21.0,1.0
3277,3278,claim,3680740368,52,someone learned  on social media that the sunset is blue on mars,not verified,active,634143.0,311333.875,9346.0,2114.0,525.0
3278,3279,claim,6946978809,27,someone learned  on social media that the moon was once part of the earth,not verified,active,630927.0,311333.875,45382.5,655.0,403.0
3279,3280,claim,4766279608,26,someone learned  on social media that 5 dwarf planets are recognized in the solar system,not verified,under review,527271.0,125179.0,35391.0,2880.125,728.5
3280,3281,claim,1716149529,20,someone learned  on social media that pluto could theoretically sustain life,not verified,active,889832.0,293589.0,45382.5,2880.125,728.5
3281,3282,claim,3544647063,24,someone learned  on social media that there’s a planet made of diamonds two times the size of earth,not verified,active,678087.0,311333.875,45382.5,2880.125,728.5
3282,3283,claim,9394486535,8,someone learned  on social media that astronauts can grow as much as two inches in space,not verified,active,976687.0,252078.0,24228.0,2145.0,62.0
3283,3284,claim,5937785932,30,someone learned  on social media that the bent joint in the legs of the flamingo is its ankles,not verified,active,701127.0,311333.875,45382.5,2880.125,728.5
3284,3285,claim,4921783002,40,someone learned  on social media that evidence from seymour island suggest that penguins were once 6 ft tall,not verified,banned,356170.0,23837.0,3433.0,387.0,71.0
3285,3286,claim,6160033399,25,someone learned  on social media that australia has the most number of venomous snakes worldwide,not verified,under review,723229.0,311333.875,4544.0,2880.125,728.5
3286,3287,claim,2431226772,9,someone learned  on social media that australia has the most number of beaches in the world,not verified,under review,66042.0,8946.0,3346.0,79.0,36.0
3287,3288,claim,2252560474,8,someone learned  on social media that the microwave oven was an accidental invention,not verified,active,396605.0,88603.0,25831.0,1701.0,300.0
3288,3289,claim,2515006689,17,someone learned  on social media that the longest location name on the planet earth is 85 letters in english.,not verified,under review,470723.0,73612.0,6320.0,177.0,30.0
3289,3290,claim,8364179325,42,someone learned  on social media that sweden has the most islands of any country,not verified,active,422761.0,123147.0,37041.0,1477.0,728.5
3290,3291,claim,7416014816,31,"someone learned  on social media that blue whales eat 500,000 calories in 1 mouthful on average",not verified,under review,336018.0,81638.0,32499.0,1605.0,728.5
3291,3292,claim,2551910149,33,someone learned  on social media that jobs in the field of agriculture are the most prevalent types of jobs in the world,not verified,banned,399694.0,77315.0,26408.0,534.0,217.0
3292,3293,claim,2959407236,50,someone learned  on social media that the elasticity of rubber bands will last much longer when they are refrigerated,not verified,active,339594.0,45769.0,16730.0,569.0,348.0
3293,3294,claim,5754353987,57,someone learned  on social media that humans are more likely to have a weird or scary dream when sleeping on their stomach,not verified,under review,277193.0,71608.0,6436.0,1738.0,449.0
3294,3295,claim,2899320510,21,someone learned  on social media that human eyeballs do not grow or change their size as they age,not verified,under review,41309.0,13919.0,3536.0,293.0,188.0
3295,3296,claim,4068151706,41,someone learned  on social media that smelling green apples help with weight loss,not verified,under review,808167.0,311333.875,45382.5,2880.125,728.5
3296,3297,claim,6391961562,25,someone learned  on social media that the largest recorded snowflake was 15 inches wide,not verified,active,296053.0,28304.0,8165.0,571.0,201.0
3297,3298,claim,7569633567,26,someone learned  on social media that snakes can predict earthquakes,not verified,active,309899.0,59651.0,14237.0,1301.0,728.5
3298,3299,claim,3810375329,14,someone learned  on social media that apple seeds contain cyanide,not verified,active,983512.0,213483.0,45382.5,1333.0,728.5
3299,3300,claim,6503115755,19,someone learned  on social media that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,not verified,active,482862.0,251322.0,45382.5,2880.125,728.5
3300,3301,claim,2854038247,39,someone learned  on social media that the average american spends time totalling 2.5 days annually looking for lost items,not verified,under review,50583.0,15834.0,2296.0,361.0,54.0
3301,3302,claim,2499662894,35,someone learned  on social media that ravens are always aware when someone is watching them,not verified,under review,426617.0,247224.0,45382.5,849.0,5.0
3302,3303,claim,9714222020,18,someone learned  on social media that honeybees can recognize human faces,not verified,under review,474918.0,2715.0,855.0,38.0,6.0
3303,3304,claim,5532615004,18,someone learned  on social media that mice typically only live for 6 months in the wild,not verified,banned,557690.0,259158.0,45382.5,1732.0,650.0
3304,3305,claim,3562872437,20,"someone learned  on social media that the largest prime number has 17,425,170 digits",not verified,active,165091.0,26253.0,9249.0,86.0,5.0
3305,3306,claim,7483117204,48,someone learned  on social media that around 50% of the mined gold on earth comes from one source,not verified,active,573724.0,54673.0,8697.0,437.0,223.0
3306,3307,claim,3834443662,35,someone learned  on social media that a shape with 26 sides is known as a rhombicuboctahedron,not verified,active,503785.0,311333.875,22955.0,2880.125,645.0
3307,3308,claim,8694400722,59,someone learned  on social media that the queens in ant colonies live for around 30 years,not verified,active,775626.0,311333.875,45382.5,485.0,124.0
3308,3309,claim,5282664064,53,someone learned  on social media that you can fit about 400 grapevines in one acre of land,not verified,banned,629417.0,183300.0,44028.0,1352.0,178.0
3309,3310,claim,1939003751,58,someone learned  on social media that lightning strikes somewhere on earth about 100 times every second,not verified,active,758378.0,244246.0,26869.0,395.0,177.0
3310,3311,claim,9476901856,17,someone learned  on social media that a giant tortoise that was believed to be extinct was found in the galapagos islands,not verified,active,405225.0,255878.0,45382.5,282.0,160.0
3311,3312,claim,6818100205,52,someone learned  on social media that the longest recorded tennis match lasted for 11 hours,not verified,active,298353.0,53682.0,18619.0,766.0,151.0
3312,3313,claim,9018967214,50,someone learned  on social media a claim that nucelear fission is now being used to produce electricity,not verified,under review,656510.0,2424.0,208.0,22.0,6.0
3313,3314,claim,3938725996,60,someone learned  on social media a claim that dubai is an island created by humans,not verified,under review,100934.0,1815.0,654.0,43.0,26.0
3314,3315,claim,6119999016,23,someone learned  on social media a claim that damascus is the oldest continuously inhabited city in the world,not verified,active,956948.0,311333.875,45382.5,2880.125,241.0
3315,3316,claim,4028683222,58,someone learned  on social media a claim that canada has the most lakes in the world,not verified,active,211239.0,13998.0,2178.0,131.0,11.0
3316,3317,claim,7287984848,47,someone learned  on social media a claim that the rubik's cube is the best-selling product of all time,not verified,banned,71314.0,46449.0,956.0,283.0,75.0
3317,3318,claim,3193326428,28,someone learned  on social media a claim that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,banned,346490.0,177792.0,45382.5,1885.0,728.5
3318,3319,claim,1288618565,53,someone learned  on social media a claim that more businesses will be owned by women than men by 2045,not verified,active,948996.0,311333.875,45382.5,2880.125,728.5
3319,3320,claim,1492707374,27,someone learned  on social media a claim that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,165943.0,94848.0,11106.0,930.0,514.0
3320,3321,claim,7992645699,19,someone learned  on social media a claim that most car horns honk in the key of f,not verified,active,831345.0,151267.0,45382.5,347.0,21.0
3321,3322,claim,5805914976,14,someone learned  on social media a claim that the car radio was first introduced in 1922,verified,under review,699925.0,273424.0,45382.5,2880.125,728.5
3322,3323,claim,2080987030,47,someone learned  on social media a claim that 90% of drivers admit to singing in the car,not verified,active,732404.0,311333.875,40238.0,2880.125,728.5
3323,3324,claim,7071556312,23,someone learned  on social media a claim that violins are constructed from 70 individual wooden pieces,not verified,active,456130.0,31069.0,6252.0,481.0,291.0
3324,3325,claim,2531643730,32,someone learned  on social media a claim that about half of the world's population can access the web via a mobile device,verified,active,291268.0,107953.0,9108.0,812.0,433.0
3325,3326,claim,7647446627,6,someone learned  on social media a claim that cannonballs were the first objects thrown in international shot put events in the early 1900s,not verified,active,394445.0,53843.0,10143.0,1243.0,621.0
3326,3327,claim,4092492630,26,someone learned  on social media a claim that the biggest passenger bus in the world operates in brazil,not verified,active,174308.0,40264.0,834.0,765.0,175.0
3327,3328,claim,3663527774,6,"someone learned  on social media a claim that shanghai, china has the world's longest subway system",not verified,under review,370579.0,224039.0,44561.0,2880.125,728.5
3328,3329,claim,3645104682,14,someone learned  on social media a claim that one-third of the world’s airports are located in the u.s.,not verified,banned,764445.0,11697.0,756.0,108.0,14.0
3329,3330,claim,6213986574,27,"someone learned  on social media a claim that a common garden snail has over 12,000 teeth",not verified,banned,160332.0,91241.0,1153.0,260.0,133.0
3330,3331,claim,4243391360,54,someone learned  on social media a claim that adult cats only meow to humans,not verified,active,726497.0,311333.875,45382.5,2717.0,728.5
3331,3332,claim,1898936609,16,someone learned  on social media a claim that we only see the same side of the moon,not verified,under review,835339.0,311333.875,45382.5,2880.125,728.5
3332,3333,claim,6883428823,41,someone learned  on social media a claim that the sunset is blue on mars,not verified,active,873423.0,106528.0,19833.0,320.0,11.0
3333,3334,claim,1582063533,19,someone learned  on social media a claim that the moon was once part of the earth,not verified,under review,641413.0,311333.875,45382.5,2880.125,728.5
3334,3335,claim,8656002790,34,someone learned  on social media a claim that marie curie is the only person with two nobel prizes in different sciences,not verified,active,43696.0,21597.0,4625.0,444.0,125.0
3335,3336,claim,4048745338,34,someone learned  on social media a claim that the bent joint in the legs of the flamingo is its ankles,not verified,active,216590.0,4961.0,1635.0,101.0,44.0
3336,3337,claim,2795133356,58,someone learned  on social media a claim that new parents lose around 750 hours of sleep in the first year of their first child’s life,not verified,active,900682.0,282649.0,45382.5,2880.125,728.5
3337,3338,claim,9299369169,36,someone learned  on social media a claim that canned pumpkins do not contain actual pumpkins,not verified,banned,845679.0,131441.0,20250.0,124.0,44.0
3338,3339,claim,3414283765,46,someone learned  on social media a claim that evidence from seymour island suggest that penguins were once 6 ft tall,not verified,banned,669004.0,160471.0,45382.5,744.0,312.0
3339,3340,claim,2431209479,39,someone learned  on social media a claim that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,under review,624413.0,214197.0,9154.0,2880.125,728.5
3340,3341,claim,3236783703,51,"someone learned  on social media a claim that your heart beats 100,000 times a day",not verified,active,97644.0,913.0,258.0,3.0,2.0
3341,3342,claim,8521030875,38,someone learned  on social media a claim that humans can’t taste food without saliva,not verified,banned,915455.0,311333.875,45382.5,2880.125,400.0
3342,3343,claim,7490608771,46,someone learned  on social media a claim that the eiffel tower leans away from the sun,not verified,active,877918.0,311333.875,45382.5,641.0,406.0
3343,3344,claim,1697063894,13,someone learned  on social media a claim that black cats are good luck in britain and japan,not verified,active,252863.0,85147.0,30075.0,1661.0,672.0
3344,3345,claim,5601021274,50,someone learned  on social media a claim that jobs in the field of agriculture are the most prevalent types of jobs in the world,not verified,under review,471992.0,311333.875,45382.5,430.0,22.0
3345,3346,claim,3352893981,50,someone learned  on social media a claim that there are billions of eggs produced commercially each year,not verified,under review,871632.0,311333.875,45382.5,2880.125,728.5
3346,3347,claim,2230080379,57,someone learned  on social media a claim that the largest pair of eyes in the world belongs to the giant squid,not verified,active,634188.0,311333.875,45382.5,2880.125,728.5
3347,3348,claim,7302381933,16,someone learned  on social media a claim that a candle’s flame is blue in zero gravity,not verified,active,48477.0,26584.0,8186.0,624.0,119.0
3348,3349,claim,8422442530,52,someone learned  on social media a claim that there are fewer stars in the sky than there are trees on earth,not verified,active,109712.0,59658.0,12040.0,261.0,159.0
3349,3350,claim,2464306641,25,someone learned  on social media a claim that most children in the world are born on a thursday,verified,active,485638.0,221779.0,45382.5,2880.125,572.0
3350,3351,claim,1529389368,25,someone learned  on social media a claim that cold water is just as cleansing as hot water,not verified,active,998425.0,84751.0,22412.0,2077.0,373.0
3351,3352,claim,6066556576,25,someone learned  on social media a claim that no two teeth from different people will ever be alike,not verified,active,517737.0,282331.0,4916.0,2880.125,728.5
3352,3353,claim,5940850925,35,someone learned  on social media a claim that frigate birds can sleep while flying,not verified,active,458009.0,227274.0,45382.5,2880.125,728.5
3353,3354,claim,1336889552,11,someone learned  on social media a claim that a man once set a record by putting on over 260 t-shirts,not verified,active,107122.0,21626.0,5504.0,2.0,1.0
3354,3355,claim,3086995018,58,someone learned  on social media a claim that lemurs were previously the size of gorillas,not verified,banned,44910.0,25719.0,4285.0,199.0,0.0
3355,3356,claim,3652269212,39,someone learned  on social media a claim that the queens in ant colonies live for around 30 years,not verified,active,569909.0,147273.0,45382.5,1853.0,61.0
3356,3357,claim,2715464577,42,someone learned  on social media a claim that you can fit about 400 grapevines in one acre of land,not verified,under review,364295.0,181090.0,45382.5,1165.0,5.0
3357,3358,claim,1294296862,11,someone learned  in a discussion board that new elements have been discovered outside the periodic table,not verified,under review,102670.0,38375.0,11775.0,352.0,16.0
3358,3359,claim,7290996108,21,someone learned  in a discussion board that canada has the most lakes in the world,not verified,active,475409.0,155361.0,6109.0,2880.125,728.5
3359,3360,claim,2786142381,48,someone learned  in a discussion board that 90% of goods are shipped by ocean freight,not verified,under review,80271.0,10418.0,4022.0,136.0,19.0
3360,3361,claim,2662375316,33,someone learned  in a discussion board that 1 billion cars are currently in use around the world,not verified,active,838864.0,14093.0,727.0,65.0,35.0
3361,3362,claim,8970295680,11,someone learned  in a discussion board that the average car contains over 30000 unique parts,not verified,under review,538352.0,156421.0,33029.0,2604.0,728.5
3362,3363,claim,5956677494,60,someone learned  in a discussion board that windshield wipers were invented in 1905,not verified,active,714010.0,160992.0,45382.5,1586.0,279.0
3363,3364,claim,9877879068,56,"someone learned  in a discussion board that 99% of individuals in denmark, ireland and the united arab emirates have internet access",not verified,under review,300840.0,46275.0,9014.0,595.0,349.0
3364,3365,claim,8079088282,49,someone learned  in a discussion board that it would take a 50 petabyte drive to store every written work ever created,not verified,under review,682636.0,71986.0,25919.0,1755.0,174.0
3365,3366,claim,4427254077,19,someone learned  in a discussion board that india’s trains transport roughly 23 million passengers each day,not verified,active,878463.0,311333.875,45382.5,2880.125,728.5
3366,3367,claim,2795254964,9,someone learned  in a discussion board that the busiest airport in the world is in the united states,not verified,active,166029.0,8742.0,3161.0,1.0,1.0
3367,3368,claim,1330305318,51,someone learned  in a discussion board that one-third of the world’s airports are located in the u.s.,not verified,active,332456.0,5345.0,599.0,61.0,19.0
